# Convergence Analysis with parameters:
#   scheme              : euler
#   Final time T        : 3.000000
#   Number of particles : 10000
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000610            0.024984            0.000233            0.000850            
  0.000855            0.030745            0.000385            0.002593            
  0.001099            0.035908            0.000466            0.002403            
  0.001343            0.040181            0.000635            0.001905            
  0.001587            0.044340            0.000710            0.003025            
  0.001832            0.047848            0.000973            0.003876            
  0.002076            0.052188            0.000680            0.005808            
  0.002320            0.055398            0.001143            0.004782            
  0.002564            0.058514            0.000361            0.005137            
  0.002809            0.061719            0.001537            0.007092            
  0.003052            0.064848            0.001190            0.004105            
  0.003297            0.068118            0.001945            0.006600            
  0.003542            0.071030            0.002039            0.008837            
  0.003788            0.075275            0.002487            0.012837            
  0.004032            0.077469            0.001900            0.014941            
  0.004274            0.081147            0.002839            0.009387            
  0.004518            0.083996            0.002788            0.010090            
  0.004762            0.086180            0.003253            0.010276            
  0.005008            0.090024            0.003900            0.015536            

# Order j             0.612 +- 0.005      1.688 +- 0.169      1.257 +- 0.196      
# Factor K            2.268 +- 0.065      27.088 +- 25.159    10.605 +- 11.547    
  0.000366            0.017519            0.000220            0.000996            
  0.000610            0.024984            0.000346            0.000778            
  0.000855            0.030731            0.000413            0.002351            
  0.001099            0.035477            0.000707            0.002663            
  0.001343            0.040405            0.000672            0.001817            
  0.001587            0.043863            0.000767            0.003547            
  0.001832            0.048141            0.001666            0.003823            
  0.002076            0.051343            0.001390            0.005584            
  0.002320            0.055394            0.001408            0.004993            
  0.002564            0.058610            0.001040            0.004768            
  0.002809            0.062034            0.001429            0.007849            
  0.003052            0.065258            0.002205            0.004794            
  0.003297            0.068058            0.001642            0.006215            
  0.003542            0.070611            0.002254            0.008957            
  0.003788            0.074502            0.002335            0.012972            
  0.004032            0.077892            0.001511            0.013594            
  0.004274            0.079933            0.002215            0.008665            
  0.004518            0.083050            0.002988            0.010111            
  0.004762            0.086534            0.002742            0.010497            
  0.005008            0.089613            0.002774            0.014527            

# Order j             0.609 +- 0.004      0.944 +- 0.122      1.183 +- 0.172      
# Factor K            2.233 +- 0.057      0.415 +- 0.284      6.863 +- 6.566      
# Order j             0.612 +- 0.001      1.181 +- 0.048      1.154 +- 0.047      
# Factor K            2.263 +- 0.019      1.895 +- 0.510      5.955 +- 1.573      


# Order j             0.612 +- 0.001      1.181 +- 0.048      1.154 +- 0.047      
# Factor K            2.263 +- 0.019      1.895 +- 0.510      5.955 +- 1.573      

  0.000366            0.017488            0.000329            0.000935            
  0.000610            0.024893            0.000319            0.000705            
  0.000855            0.030406            0.000392            0.002750            
  0.001099            0.035340            0.000355            0.003303            
  0.001343            0.039675            0.000976            0.002034            
  0.001587            0.044048            0.000952            0.003853            
  0.001832            0.047467            0.000767            0.004067            
  0.002076            0.050728            0.001049            0.006054            
  0.002320            0.054246            0.001503            0.006083            
  0.002564            0.057961            0.001689            0.005784            
  0.002809            0.061047            0.001767            0.008810            
  0.003052            0.064026            0.002187            0.005295            
  0.003297            0.067625            0.002319            0.007466            
  0.003542            0.070467            0.002476            0.010493            
  0.003788            0.073619            0.003038            0.014264            
  0.004032            0.077065            0.002759            0.013913            
  0.004274            0.079940            0.003624            0.009625            
  0.004518            0.082334            0.003259            0.011226            
  0.004762            0.085739            0.003443            0.010193            
  0.005008            0.089405            0.004535            0.015106            

# Order j             0.613 +- 0.005      1.372 +- 0.088      1.081 +- 0.157      
# Factor K            2.256 +- 0.068      5.873 +- 2.857      4.215 +- 3.694      

  0.000366            0.017467            0.000182            0.000697            
  0.000610            0.024595            0.000367            0.000472            
  0.000855            0.030452            0.000636            0.002366            
  0.001099            0.035138            0.001137            0.002598            
  0.001343            0.039912            0.001152            0.002315            
  0.001587            0.044067            0.001153            0.003627            
  0.001832            0.047425            0.001132            0.003746            
  0.002076            0.051357            0.001063            0.006050            
  0.002320            0.054663            0.001673            0.005803            
  0.002564            0.058341            0.001910            0.005874            
  0.002809            0.061624            0.002069            0.007764            
  0.003052            0.065120            0.002351            0.004614            
  0.003297            0.067341            0.002336            0.006311            
  0.003542            0.071042            0.002528            0.009101            
  0.003788            0.073725            0.002966            0.013430            
  0.004032            0.077645            0.003233            0.013899            
  0.004274            0.079720            0.003255            0.008271            
  0.004518            0.084274            0.004346            0.019368            
  0.004762            0.086597            0.003226            0.009741            
  0.005008            0.090931            0.003873            0.015184            

# Order j             0.621 +- 0.007      1.098 +- 0.088      1.300 +- 0.239      
# Factor K            2.382 +- 0.090      1.326 +- 0.651      14.663 +- 19.449    

  0.000366            0.017436            0.000312            0.000823            
  0.000610            0.024750            0.000316            0.000415            
  0.000855            0.030809            0.000316            0.002604            
  0.001099            0.035987            0.000759            0.002950            
  0.001343            0.040045            0.000327            0.001994            
  0.001587            0.043887            0.000504            0.003781            
  0.001832            0.048189            0.000890            0.003855            
  0.002076            0.051798            0.001232            0.005769            
  0.002320            0.055128            0.001084            0.006116            
  0.002564            0.058246            0.001164            0.005753            
  0.002809            0.061824            0.001619            0.007627            
  0.003052            0.064996            0.002068            0.004673            
  0.003297            0.068272            0.002230            0.006577            
  0.003542            0.071088            0.002029            0.009607            
  0.003788            0.073936            0.001924            0.013060            
  0.004032            0.076983            0.003738            0.014455            
  0.004274            0.080534            0.002887            0.009028            
  0.004518            0.082992            0.002978            0.009080            
  0.004762            0.085352            0.002421            0.010148            
  0.005008            0.089890            0.003549            0.014712            

# Order j             0.607 +- 0.005      1.285 +- 0.164      1.097 +- 0.176      
# Factor K            2.203 +- 0.059      3.084 +- 2.812      4.338 +- 4.278      

  0.000366            0.017444            0.000152            0.001114            
  0.000610            0.024902            0.000227            0.000998            
  0.000855            0.030550            0.000564            0.002503            
  0.001099            0.035583            0.000843            0.002661            
  0.001343            0.040145            0.000664            0.002074            
  0.001587            0.044239            0.000917            0.003828            
  0.001832            0.047910            0.001091            0.004277            
  0.002076            0.051528            0.000957            0.006232            
  0.002320            0.055531            0.001242            0.006091            
  0.002564            0.059024            0.001883            0.005964            
  0.002809            0.062290            0.001347            0.007717            
  0.003052            0.065249            0.000981            0.004781            
  0.003297            0.068037            0.001778            0.006346            
  0.003542            0.071558            0.001782            0.010212            
  0.003788            0.075128            0.001976            0.013460            
  0.004032            0.078209            0.002072            0.014230            
  0.004274            0.080911            0.001763            0.008994            
  0.004518            0.083593            0.002020            0.010221            
  0.004762            0.087684            0.002588            0.010767            
