# Convergence Analysis with parameters:
#   scheme              : milstein
#   Final time T        : 1.000000
#   Number of particles : 10000
#
# NOTE: The most recent j and K data is on the bottom#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000925            0.005447            0.001100            0.003262            
  0.000976            0.005719            0.001219            0.002814            
  0.001026            0.006034            0.001273            0.002995            

# Order j             1.048 +- 0.009      1.036 +- 0.021      1.080 +- 0.088      
# Factor K            8.197 +- 0.513      1.591 +- 0.245      5.371 +- 3.403      

  0.000075            0.000328            0.000063            0.000192            
  0.000125            0.000594            0.000132            0.000225            
  0.000175            0.000926            0.000195            0.000530            
  0.000225            0.001222            0.000256            0.000659            
  0.000275            0.001526            0.000320            0.000846            
  0.000325            0.001848            0.000410            0.000794            
  0.000375            0.002136            0.000471            0.001044            
  0.000425            0.002444            0.000557            0.001055            
  0.000475            0.002712            0.000578            0.001549            
  0.000525            0.003036            0.000667            0.001419            
  0.000575            0.003312            0.000696            0.001959            
  0.000625            0.003460            0.000777            0.001349            
  0.000675            0.003883            0.000829            0.002034            
  0.000725            0.004196            0.000890            0.002348            
  0.000775            0.004491            0.000934            0.002499            
  0.000825            0.004812            0.001006            0.002862            
  0.000876            0.005136            0.001157            0.002299            
  0.000925            0.005369            0.001106            0.003236            
  0.000976            0.005711            0.001236            0.002807            
  0.001026            0.005984            0.001301            0.002993            

# Order j             1.043 +- 0.009      1.034 +- 0.024      1.080 +- 0.089      
# Factor K            7.872 +- 0.497      1.584 +- 0.268      5.372 +- 3.417      

  0.000075            0.000330            0.000064            0.000192            
  0.000125            0.000596            0.000132            0.000230            
  0.000175            0.000932            0.000193            0.000531            
  0.000225            0.001233            0.000256            0.000661            
  0.000275            0.001531            0.000323            0.000843            
  0.000325            0.001852            0.000415            0.000800            
  0.000375            0.002140            0.000463            0.001042            
  0.000425            0.002450            0.000557            0.001051            
  0.000475            0.002727            0.000586            0.001538            
  0.000525            0.003032            0.000675            0.001405            
  0.000575            0.003307            0.000694            0.001964            
  0.000625            0.003449            0.000787            0.001343            
  0.000675            0.003905            0.000832            0.002042            
  0.000725            0.004187            0.000900            0.002345            
  0.000775            0.004491            0.000978            0.002502            
  0.000825            0.004790            0.001028            0.002840            
  0.000876            0.005169            0.001154            0.002301            
  0.000925            0.005393            0.001122            0.003232            
  0.000976            0.005717            0.001261            0.002798            
  0.001026            0.006019            0.001335            0.002969            

# Order j             1.044 +- 0.009      1.050 +- 0.021      1.077 +- 0.089      
# Factor K            7.978 +- 0.530      1.810 +- 0.271      5.223 +- 3.325      

  0.000075            0.000330            0.000063            0.000193            
  0.000125            0.000597            0.000127            0.000231            
  0.000175            0.000936            0.000186            0.000541            
  0.000225            0.001235            0.000259            0.000669            
  0.000275            0.001543            0.000312            0.000854            
  0.000325            0.001865            0.000395            0.000811            
