# Convergence Analysis with parameters:
#   scheme              : milstein
#   Final time T        : 3.000000
#   Number of particles : 10000
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000610            0.127790            0.037056            0.154603            
  0.000855            0.157995            0.055629            0.217591            
  0.001099            0.192337            0.070148            0.269428            
  0.001343            0.217080            0.090765            0.322841            
  0.001587            0.237694            0.105713            0.361113            
  0.001832            0.263680            0.113166            0.415664            
  0.002076            0.284726            0.134960            0.452614            
  0.002320            0.305933            0.150322            0.504553            
  0.002564            0.330066            0.171309            0.549285            
  0.002809            0.342649            0.170931            0.600254            
  0.003052            0.371341            0.194469            0.652494            
  0.003297            0.378686            0.192642            0.662302            
  0.003542            0.392041            0.213080            0.684896            
  0.003788            0.407356            0.213483            0.747289            
  0.004032            0.433558            0.234930            0.791028            
  0.004274            0.442946            0.239576            0.806364            
  0.004518            0.456615            0.254575            0.844353            
  0.004762            0.469310            0.265408            0.881503            
  0.005008            0.484101            0.275655            0.903414            

# Order j             0.618 +- 0.007      0.858 +- 0.022      0.800 +- 0.013      
# Factor K            12.884 +- 0.504     26.390 +- 3.316     63.766 +- 4.786     
  0.000366            0.088784            0.016399            0.085367            
  0.000610            0.130173            0.040994            0.162066            
  0.000855            0.161269            0.054257            0.212148            
  0.001099            0.193682            0.071654            0.283205            
  0.001343            0.218915            0.093609            0.325736            
  0.001587            0.244309            0.105785            0.371570            
  0.001832            0.269377            0.125904            0.442366            
  0.002076            0.284762            0.130036            0.458303            
  0.002320            0.307291            0.139992            0.523850            
  0.002564            0.331619            0.158980            0.575102            
  0.002809            0.334505            0.168670            0.593382            
  0.003052            0.364088            0.184805            0.632043            
  0.003297            0.381266            0.195621            0.657088            
  0.003542            0.398563            0.209194            0.714947            
  0.003788            0.402331            0.222381            0.718053            
  0.004032            0.426767            0.222410            0.779954            
  0.004274            0.450638            0.247250            0.844845            
  0.004518            0.448820            0.241326            0.822758            
  0.004762            0.472264            0.262721            0.883547            
  0.005008            0.485789            0.271765            0.939842            

# Order j             0.612 +- 0.009      0.851 +- 0.021      0.791 +- 0.018      
# Factor K            12.504 +- 0.610     24.982 +- 3.014     61.433 +- 6.232     
  0.000366            0.090992            0.022985            0.091663            
  0.000610            0.132266            0.039930            0.165424            
  0.000855            0.168278            0.061116            0.231744            
  0.001099            0.187368            0.069479            0.285627            
  0.001343            0.219182            0.087535            0.327522            
  0.001587            0.246192            0.110492            0.386232            
  0.001832            0.260693            0.115483            0.416285            
  0.002076            0.276527            0.121604            0.434633            
  0.002320            0.305733            0.148435            0.502446            
  0.002564            0.322897            0.153476            0.548890            
  0.002809            0.345419            0.169406            0.591494            
  0.003052            0.363398            0.188653            0.634484            
  0.003297            0.379891            0.196264            0.678965            
  0.003542            0.386850            0.198634            0.700752            
  0.003788            0.404905            0.216614            0.728113            
  0.004032            0.426397            0.224566            0.771696            
  0.004274            0.439215            0.238778            0.822629            
  0.004518            0.460375            0.255612            0.850433            
  0.004762            0.467631            0.263586            0.875765            
  0.005008            0.484542            0.268149            0.921352            

# Order j             0.613 +- 0.006      0.858 +- 0.018      0.791 +- 0.011      
# Factor K            12.480 +- 0.462     25.875 +- 2.620     60.917 +- 3.930     
# Order j             0.614 +- 0.003      0.845 +- 0.007      0.784 +- 0.005      
# Factor K            12.629 +- 0.188     24.795 +- 0.944     58.619 +- 1.762     
# Order j             0.614 +- 0.003      0.845 +- 0.007      0.784 +- 0.005      
# Factor K            12.629 +- 0.188     24.795 +- 0.944     58.619 +- 1.762     

# Order j             0.614 +- 0.003      0.845 +- 0.007      0.784 +- 0.005      
# Factor K            12.629 +- 0.188     24.795 +- 0.944     58.619 +- 1.762     

