# Convergence Analysis with parameters:
#   scheme              : euler
#   Final time T        : 3.000000
#   Number of particles : 10000
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
# Factor K            1.366 +- 0.042      0.004 +- 0.004      0.043 +- 0.114      

# Order j             0.619 +- 0.001      1.191 +- 0.026      1.282 +- 0.028      
# Factor K            2.356 +- 0.013      2.001 +- 0.288      12.087 +- 1.922     

# Order j             0.619 +- 0.001      1.191 +- 0.026      1.282 +- 0.028      
# Factor K            2.356 +- 0.013      2.001 +- 0.288      12.087 +- 1.922     

# Order j             0.619 +- 0.001      1.191 +- 0.026      1.282 +- 0.028      
# Factor K            2.356 +- 0.013      2.001 +- 0.288      12.087 +- 1.922     

# Order j             0.545 +- 0.001      0.564 +- 0.057      0.715 +- 0.082      
# Factor K            1.331 +- 0.013      0.018 +- 0.008      0.096 +- 0.059      

